Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,193/380,.508,98/138,.710,29,513,88,284,160,40,40,74,2.16,47,15
GiannisISmySON,233/488,.477,114/133,.857,63,643,52,221,149,28,13,71,2.10,45,15
Alex's Team,219/437,.501,105/122,.861,60,603,77,244,117,28,25,77,1.52,44,15
sean's Dazzling Team,217/454,.478,81/107,.757,51,566,53,204,119,34,24,58,2.05,42,15
CWB Shams,220/469,.469,110/131,.840,75,625,28,147,159,44,23,60,2.65,43,15
甄姬拔菜,282/526,.536,133/165,.806,58,755,77,302,173,46,35,72,2.40,48,15
Deng's Team,137/307,.446,49/60,.817,28,351,37,164,84,36,29,41,2.05,43,15
Michael Chow's Team,209/451,.463,91/117,.778,84,593,45,208,166,47,28,72,2.31,41,15
Goodtime Brother,232/493,.471,146/178,.820,63,673,49,214,179,22,22,77,2.32,47,15
离岛落得慢,213/474,.449,87/97,.897,83,596,43,167,161,39,16,64,2.52,39,15
Kojima Production,265/591,.448,108/130,.831,106,744,42,157,152,42,11,68,2.24,47,15
TST WATER CANNON,171/361,.474,82/101,.812,44,468,44,170,79,20,16,45,1.76,40,15
Luke's Team,230/465,.495,128/168,.762,65,653,64,230,184,40,33,85,2.16,46,15
达里安人阿闹,202/423,.478,126/148,.851,43,573,75,234,105,27,33,58,1.81,47,15
