Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,33/59,.559,13/14,.929,5,84,7,21,13,6,1,6,2.167,2,2
Jameson's Nifty Team,29/58,.500,16/22,.727,6,80,7,29,28,5,4,4,7.000,2,2
GUCCI GUCCI,42/91,.462,22/24,.917,9,115,7,43,25,3,8,10,2.500,4,2
江郎才尽 理屈词穷 黔驴技穷,28/53,.528,11/11,1.000,7,74,9,28,18,4,3,8,2.250,2,2
INJ CAMP,42/98,.429,27/28,.964,15,126,8,35,21,5,1,15,1.400,6,2
脆皮队,23/43,.535,14/15,.933,9,69,2,8,7,1,0,1,7.000,4,2
Jeffrey's Nifty Team,20/45,.444,15/17,.882,2,57,2,20,14,1,1,7,2.000,3,2
想夺冠的联系我 Cash Only,30/64,.469,24/40,.600,10,94,9,25,24,4,2,16,1.500,5,2
max,39/70,.557,25/28,.893,13,116,4,35,28,4,4,12,2.333,7,2
歪炮 mvp Team,34/76,.447,19/21,.905,9,96,9,36,13,1,0,14,0.929,5,2
sean's Team,25/58,.431,12/19,.632,7,69,9,35,23,4,4,12,1.917,9,2
YY,19/41,.463,9/13,.692,3,50,2,16,20,4,2,9,2.222,4,2
SINCE’02,28/46,.609,8/10,.800,9,73,9,26,13,5,4,5,2.600,5,2
芝加哥牛子,51/108,.472,12/19,.632,13,127,17,59,44,8,8,11,4.000,7,2
水仔,19/50,.380,15/22,.682,4,57,16,45,14,6,8,10,1.400,5,2
立超's Notable Team,32/61,.525,19/21,.905,8,91,1,10,16,2,0,8,2.000,3,2
