Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,75/157,.478,32/41,.780,18,200,13,57,48,9,8,19,2.53,10,1
Luke's Team,33/84,.393,13/19,.684,4,83,21,65,26,10,12,8,3.25,10,1
Alex's Team,69/145,.476,33/45,.733,13,184,18,61,48,11,10,28,1.71,11,1
sean's Dazzling Team,56/125,.448,17/23,.739,16,145,18,58,51,8,7,18,2.83,11,1
CWB Shams,71/145,.490,20/24,.833,31,193,10,61,44,13,7,22,2.00,13,1
离岛落得慢,57/112,.509,24/25,.960,16,154,5,39,32,6,5,14,2.29,8,1
Deng's Team,54/119,.454,28/32,.875,18,154,11,53,32,8,5,28,1.14,10,1
Kojima Production,52/137,.380,45/51,.882,11,160,17,62,40,13,1,24,1.67,11,1
GiannisISmySON,31/92,.337,8/8,1.000,13,83,8,49,30,5,7,13,2.31,11,1
甄姬拔菜,47/87,.540,25/37,.676,8,127,28,91,28,12,10,19,1.47,11,1
Goodtime Brother,64/142,.451,23/32,.719,13,164,22,72,46,19,6,20,2.30,11,1
TST WATER CANNON,75/153,.490,17/29,.586,19,186,16,57,33,11,7,16,2.06,12,1
Michael Chow's Team,66/143,.462,28/42,.667,18,178,19,96,44,11,18,23,1.91,13,1
达里安人阿闹,65/154,.422,23/27,.852,17,170,20,68,36,13,7,25,1.44,12,1
